,VA,AV,BA,FI,HS,IM
126,0.23399052,0.057513922,0.047850456,0.13497657,0.2661568,0.25951177
127,0.071488895,0.15591808,0.27163634,0.11574896,0.06704862,0.3181591
128,0.104188375,0.2845741,0.08594394,0.19727457,0.24211246,0.085906595
129,0.15379871,0.17459175,0.2064553,0.21722187,0.079140924,0.16879147
130,0.095705435,0.24988337,0.118198074,0.2674503,0.10337816,0.1653847
131,0.06706734,0.05354082,0.12761971,0.0635125,0.22579119,0.4624685
132,0.077740416,0.21247478,0.15337013,0.14912559,0.16934666,0.23794252
133,0.12872389,0.23538546,0.177677,0.16314514,0.16363338,0.13143513
134,0.121599145,0.14964099,0.15019003,0.1956501,0.17389776,0.20902196
135,0.057942327,0.20530717,0.14604823,0.055249617,0.08521271,0.45024005
136,0.0486346,0.22655196,0.32302317,0.06457428,0.3170775,0.02013847
137,0.045019105,0.21804167,0.35899276,0.12202286,0.17996502,0.07595853
138,0.039553188,0.10566278,0.40320998,0.21716668,0.18230021,0.052107204
139,0.32323346,0.26939029,0.12312654,0.0767346,0.15381631,0.0536988
140,0.2348175,0.2535017,0.1888503,0.048076626,0.13647063,0.13828327
141,0.27762872,0.09778293,0.046269957,0.4022642,0.13338263,0.042671505
142,0.0843966,0.25618085,0.41340297,0.100996524,0.092841215,0.052181788
143,0.40622768,0.24729247,0.13801394,0.07412399,0.07274335,0.06159859
144,0.054770652,0.08104595,0.07011467,0.13876098,0.4699752,0.18533246
145,0.37134323,0.11869172,0.08917128,0.09974231,0.09848299,0.22256845
146,0.24360351,0.06930588,0.18764079,0.23157623,0.09435092,0.17352262
147,0.26912552,0.09882097,0.4733928,0.06185292,0.054721177,0.042086564
148,0.1349665,0.075123064,0.05450113,0.15703543,0.16570655,0.41266727
149,0.16114594,0.05205895,0.42149803,0.2441598,0.0399686,0.081168726
150,0.30415523,0.10608299,0.05148811,0.0835162,0.086951286,0.36780617
151,0.27797988,0.22697297,0.13849069,0.22294831,0.06438375,0.0692244
152,0.047257293,0.056923267,0.12186579,0.10537975,0.060850374,0.6077235
153,0.102857776,0.035837054,0.081040196,0.23371185,0.18344556,0.3631076
154,0.30130035,0.0602922,0.16655587,0.25532237,0.08665482,0.12987441
155,0.05625941,0.04957182,0.1119567,0.13700362,0.13983116,0.5053773
156,0.08126974,0.45395297,0.07159027,0.035854127,0.082559,0.27477387
157,0.11961731,0.27324277,0.08160375,0.1615717,0.18325275,0.18071167
158,0.047865406,0.43205282,0.12052433,0.09635118,0.23448181,0.06872437
159,0.26513356,0.08468782,0.14078808,0.15918495,0.15709724,0.19310835
160,0.057999946,0.38095653,0.24005443,0.21894927,0.06097713,0.041062653
161,0.076477215,0.16037571,0.34540886,0.1346593,0.2525571,0.030521734
162,0.28017175,0.24481438,0.20991927,0.107320786,0.08331345,0.07446036
163,0.086799525,0.25584242,0.105815485,0.18024388,0.2799527,0.09134593
164,0.13231862,0.18451205,0.19593148,0.14983615,0.22169632,0.115705356
165,0.16461784,0.11783158,0.045092627,0.34856302,0.16042072,0.16347429
166,0.18875587,0.22963789,0.18646954,0.103953175,0.07851271,0.21267083
167,0.21599755,0.26980418,0.15202819,0.06384345,0.06663045,0.23169617
168,0.25389862,0.08060183,0.090999804,0.42742845,0.061488632,0.0855826
169,0.23254843,0.065284036,0.22414686,0.03908578,0.2249027,0.21403223
170,0.26781818,0.18964125,0.037068706,0.19769482,0.13624252,0.17153452
171,0.41016385,0.097749956,0.101787,0.2542642,0.09113353,0.044901434
172,0.23855022,0.1738449,0.07171415,0.16585961,0.14230964,0.20772143
173,0.14724287,0.30038226,0.038140718,0.1196086,0.26000887,0.13461664
174,0.20242801,0.067345835,0.18778336,0.31984496,0.04530372,0.17729406
175,0.0629152,0.32584646,0.13023815,0.039397303,0.23989998,0.20170297
176,0.088979155,0.11378026,0.27063948,0.1934766,0.16150063,0.17162386
177,0.23318176,0.09154471,0.4001826,0.045242235,0.08719707,0.1426516
178,0.22914231,0.080555126,0.25795695,0.18775424,0.20645402,0.038137358
179,0.33371204,0.05086037,0.177749,0.25935262,0.041300785,0.13702519
180,0.06616436,0.24488856,0.18297537,0.11372544,0.1271129,0.26513338
181,0.18800113,0.14304912,0.069672585,0.1535581,0.18126239,0.2644566
182,0.083653755,0.2711041,0.21112224,0.1611254,0.21625905,0.056735422
183,0.1003802,0.037420347,0.022305833,0.118746415,0.22665636,0.49449083
184,0.2812588,0.05535425,0.083752364,0.1700436,0.10623176,0.30335918
185,0.095547415,0.13412032,0.5545888,0.07325941,0.08559313,0.05689097
186,0.29021475,0.13256752,0.09753596,0.32441267,0.081627555,0.07364153
187,0.34843987,0.19138071,0.15139353,0.14067402,0.13209204,0.036019806
188,0.08683031,0.066039465,0.46440464,0.15107487,0.19939287,0.032257907
189,0.060270015,0.18005227,0.4298091,0.15039055,0.037708692,0.14176932
190,0.12311293,0.18297948,0.18556276,0.2806198,0.054780412,0.17294462
191,0.3025737,0.11042122,0.14739375,0.10559568,0.1304491,0.20356658
192,0.22102709,0.13325922,0.26765743,0.04969889,0.1606235,0.1677339
193,0.057844624,0.05720753,0.19530793,0.11528228,0.4706468,0.10371083
194,0.15342778,0.34214866,0.27185136,0.056663975,0.12507318,0.050835043
195,0.16940649,0.37858692,0.1955357,0.044546522,0.11502531,0.096898995
196,0.28813198,0.1149463,0.3259342,0.09114123,0.10522949,0.07461677
197,0.12110193,0.052601315,0.10951645,0.24373192,0.050652035,0.4223964
198,0.091047056,0.21762733,0.07021636,0.45290536,0.07155036,0.09665358
199,0.2150605,0.101367384,0.19900656,0.27452227,0.11863967,0.09140365
200,0.10572966,0.20887694,0.057761893,0.40792602,0.094898656,0.12480684
